n,nz,mode,seed,nodes,mpi_processes,threads_per_process,block_size,seq_time_med,mpi_time_med,absolute_speedup,relative_speedup,relative_efficiency_percent,distribution_med,spmv_med,normalize_med,rotate_med,communication_med,reduction_med,epoch_med
1000000,200000000,irregular,111,1,1,16,2048,425.759133,45.037562,9.453423,1.000000,100.0000,1.391883,41.588935,0.129847,0.493170,1.347348,0.002081,0.000001
1000000,200000000,irregular,111,2,2,16,2048,425.759133,31.605273,13.471142,1.425002,71.2501,1.715389,25.743749,0.131373,0.493976,3.470493,4.665120,0.000001
1000000,200000000,irregular,111,4,4,16,2048,425.759133,27.186507,15.660678,1.656615,41.4154,1.890748,16.395236,0.123862,0.500674,8.265651,7.803890,0.000002
1000000,200000000,irregular,111,6,6,16,2048,425.759133,23.146448,18.394146,1.945766,32.4294,1.948725,9.460975,0.115807,0.504742,11.121276,5.649310,0.000002
1000000,200000000,irregular,111,8,8,16,2048,425.759133,22.996017,18.514473,1.958494,24.4812,1.974123,9.256467,0.099541,0.503235,11.258693,7.968018,0.000002
