n,nz,mode,seed,block_size,threads,seq_time_med,thread_time_med,speedup,efficiency_percent
1000000,200000000,irregular,111,1024,1,425.759133,425.636992,1.000287,100.0287
1000000,200000000,irregular,111,1024,2,425.759133,231.600671,1.838333,91.9167
1000000,200000000,irregular,111,1024,4,425.759133,124.262347,3.426292,85.6573
1000000,200000000,irregular,111,1024,8,425.759133,69.497090,6.126287,76.5786
1000000,200000000,irregular,111,1024,16,425.759133,42.831476,9.940333,62.1271
1000000,200000000,irregular,111,1024,32,425.759133,39.364185,10.815901,33.7997
