n,nz,mode,seed,threads,block_size,seq_time_med,thread_time_med,speedup,efficiency_percent
1000000,200000000,regular,111,16,1024,425.851756,42.880152,9.931209,62.0701
1000000,200000000,regular,111,32,1024,425.851756,39.537728,10.770770,33.6587
1000000,200000000,irregular,111,16,1024,425.759133,43.116062,9.874722,61.7170
1000000,200000000,irregular,111,32,1024,425.759133,39.617453,10.746757,33.5836
